"...1","id","Autor","titulo","fecha","Técnica","soporte","dimension","procedencia","url_ficha","url","path","tweet","tweetsize","tuiteadoya"
367,"P000497","Paolo Veronés","Martirio de San Mena","Hacia 1580","Óleo","Lienzo","Alto: 248 cm.; Ancho: 182 cm.","Colección Real (Real Monasterio de San Lorenzo, El Escorial-Madrid, Iglesia Vieja, 1837)","https://www.museodelprado.es/coleccion/obra-de-arte/martirio-de-san-mena/0ad0ac01-a8d1-4c63-94f7-656151ffdd0c?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/0a/0ad0/0ad0ac01-a8d1-4c63-94f7-656151ffdd0c/fff79558-fd09-4578-87d1-b9e7477f23b1.jpg","data/images/P000497.jpg","Martirio de San Mena - Paolo Veronés (Hacia 1580)  https://www.museodelprado.es/coleccion/obra-de-arte/martirio-de-san-mena/0ad0ac01-a8d1-4c63-94f7-656151ffdd0c?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,TRUE
104,"P006893","Miguel Ximénez","La Trinidad","1480 - 1490","Técnica mixta","Tabla","Alto: 90 cm.; Ancho: 90 cm.","Colección Lanckronsky, Viena; Colección particular, Nueva York; adquirida a Arteuropa S. A. en 1981.","https://www.museodelprado.es/coleccion/obra-de-arte/la-trinidad/9e0dbd43-2bd0-4e5d-8339-166bcb559e80?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/9e/9e0d/9e0dbd43-2bd0-4e5d-8339-166bcb559e80/6c0599ff-6f37-424c-8132-6ef5a258191c.jpg","data/images/P006893.jpg","La Trinidad - Miguel Ximénez (1480 - 1490)  https://www.museodelprado.es/coleccion/obra-de-arte/la-trinidad/9e0dbd43-2bd0-4e5d-8339-166bcb559e80?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
657,"P001207","Diego Rodríguez de Silva y Velázquez","Menipo","Hacia 1638","Óleo","Lienzo","Alto: 179 cm.; Ancho: 94 cm.","Colección Real (Torre de la Parada, El Pardo-Madrid, 1703-1711; Torre de la Parada, 1714; Palacio de El Pardo, Madrid, pieza duodécima, 1747, nº 123; Palacio Real Nuevo, Madrid, cuarto del infante don Javier, 1772, nº 930; Palacio Real Nuevo, Madrid, pieza de vestir, 1794, nº 929; Palacio Real, Madrid, [1ª] pieza de vestir, 1814-1818, nº 929).","https://www.museodelprado.es/coleccion/obra-de-arte/menipo/698f7cc0-8483-40f8-b66b-7c9a99f358d8?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/69/698f/698f7cc0-8483-40f8-b66b-7c9a99f358d8/834ab3f6-2cfd-4693-ab63-e6a33fbabee8.jpg","data/images/P001207.jpg","Menipo - Diego Rodríguez de Silva y Velázquez (Hacia 1638)  https://www.museodelprado.es/coleccion/obra-de-arte/menipo/698f7cc0-8483-40f8-b66b-7c9a99f358d8?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1644,"D003972","Francisco de Goya y Lucientes","Yo lo vi","1810 - 1815","Sanguina; Lápiz compuesto","Papel verjurado, agarbanzado","Alto: 177 mm.; Ancho: 234 mm.","Javier Goya; Mariano Goya; Valentín Carderera; Mariano Carderera; Museo del Prado, 12-11-1886.","https://www.museodelprado.es/coleccion/obra-de-arte/yo-lo-vi/0620975c-ecac-4b67-8b03-9a7b9cf44ca8?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/06/0620/0620975c-ecac-4b67-8b03-9a7b9cf44ca8/344b4a51-0780-4a88-b3c4-93839f2f45a3.jpg","data/images/D003972.jpg","Yo lo vi - Francisco de Goya y Lucientes (1810 - 1815)  https://www.museodelprado.es/coleccion/obra-de-arte/yo-lo-vi/0620975c-ecac-4b67-8b03-9a7b9cf44ca8?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
545,"P007065","Juan van der Hamen y León","Retrato de enano","Hacia 1626","Óleo","Lienzo","Alto: 122,5 cm.; Ancho: 87 cm.","Donación Fundación Bertrán, 1986.","https://www.museodelprado.es/coleccion/obra-de-arte/retrato-de-enano/972bf374-7410-415d-81f3-0ed2444913bd?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/97/972b/972bf374-7410-415d-81f3-0ed2444913bd/da3ea608-f326-4ad3-8029-a0f80791b518.jpg","data/images/P007065.jpg","Retrato de enano - Juan van der Hamen y León (Hacia 1626)  https://www.museodelprado.es/coleccion/obra-de-arte/retrato-de-enano/972bf374-7410-415d-81f3-0ed2444913bd?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1812,"E000267","Leone Leoni; Pompeo Leoni","Carlos V","Hacia 1553","Esculpido","Mármol de Carrara","Alto: 197 cm.; Ancho: 79 cm.; Fondo: 44 cm.; Peso: 617 Kg.","Colección Real (Palacio Real Nuevo, Madrid, 1747, nº 24)","https://www.museodelprado.es/coleccion/obra-de-arte/carlos-v/c5d4a460-f4e2-4a39-8af0-240e180ab525?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/c5/c5d4/c5d4a460-f4e2-4a39-8af0-240e180ab525/26bf3037-93f0-412d-994a-cf470b0c5740.jpg","data/images/E000267.jpg","Carlos V - Leone Leoni; Pompeo Leoni (Hacia 1553)  https://www.museodelprado.es/coleccion/obra-de-arte/carlos-v/c5d4a460-f4e2-4a39-8af0-240e180ab525?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
643,"P001113","José de Ribera","Ticio","1632","Óleo","Lienzo","Alto: 227 cm.; Ancho: 301 cm.","Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 91]; Buen Retiro, 1794, nº 801).","https://www.museodelprado.es/coleccion/obra-de-arte/ticio/2876e1d6-cd02-487e-8635-f2b506af28f8?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/28/2876/2876e1d6-cd02-487e-8635-f2b506af28f8/b2d862c9-470c-4adc-adff-482cedf29ea6.jpg","data/images/P001113.jpg","Ticio - José de Ribera (1632)  https://www.museodelprado.es/coleccion/obra-de-arte/ticio/2876e1d6-cd02-487e-8635-f2b506af28f8?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1971,"G002160","Francisco de Goya y Lucientes","No te escaparás","1797 - 1799","Aguafuerte; Aguatinta bruñida","Papel; Papel verjurado, ahuesado","Alto: 306 mm.; Ancho: 201 mm.; Alto huella de la plancha: 212 mm.; Ancho huella de la plancha: 149 mm.","Colección Plácido Arango Arias; donación Plácido Arango Arias, 1991.","https://www.museodelprado.es/coleccion/obra-de-arte/no-te-escaparas/eb49a700-8a7c-48ac-8a79-6d7699301b77?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/eb/eb49/eb49a700-8a7c-48ac-8a79-6d7699301b77/67ee30e8-8c01-4a8f-b61a-f8228a97f732.jpg","data/images/G002160.jpg","No te escaparás - Francisco de Goya y Lucientes (1797 - 1799)  https://www.museodelprado.es/coleccion/obra-de-arte/no-te-escaparas/eb49a700-8a7c-48ac-8a79-6d7699301b77?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
809,"P000979","Bartolomé Esteban Murillo","Aparición de la Virgen a san Ildefonso","Hacia 1655","Óleo","Lienzo","Alto: 309 cm.; Ancho: 259 cm.","Colección Real (colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, dormitorio de sus Majestades, 1746, nº 647; La Granja, dormitorio, 1774, nº 647; Palacio Real Nuevo, Madrid, pieza del oratorio, 1794, nº 647; Palacio Real, Madrid, pieza de oratorio, 1814-1818, nº 647).","https://www.museodelprado.es/coleccion/obra-de-arte/aparicion-de-la-virgen-a-san-ildefonso/a5f69627-7928-4970-a1b4-3f4d0f656c32?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/a5/a5f6/a5f69627-7928-4970-a1b4-3f4d0f656c32/d1540b5a-82b4-4147-8cb4-12a3f186f97d.jpg","data/images/P000979.jpg","Aparición de la Virgen a san Ildefonso - Bartolomé Esteban Murillo (Hacia 1655)  https://www.museodelprado.es/coleccion/obra-de-arte/aparicion-de-la-virgen-a-san-ildefonso/a5f69627-7928-4970-a1b4-3f4d0f656c32?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
749,"P007707","Francisco de Zurbarán","Cristo crucificado con un donante","1640","Óleo","Lienzo","Alto: 244 cm.; Ancho: 167,5 cm.","Colección Hueto, Vitoria, en 1924; colección Lezama-Leguizamón, Bilbao; adquisición Fondos Legado Villaescusa, 1996.","https://www.museodelprado.es/coleccion/obra-de-arte/cristo-crucificado-con-un-donante/4e4adfa4-d242-4aa3-9bca-9d1b6bab0a0d?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/4e/4e4a/4e4adfa4-d242-4aa3-9bca-9d1b6bab0a0d/0dd4240d-a569-4e83-9517-531c7e6547fa.jpg","data/images/P007707.jpg","Cristo crucificado con un donante - Francisco de Zurbarán (1640)  https://www.museodelprado.es/coleccion/obra-de-arte/cristo-crucificado-con-un-donante/4e4adfa4-d242-4aa3-9bca-9d1b6bab0a0d?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
